지자체코드,지자체,기간,목적,출장국,인원,지출,인당지출,비고
4100000,경기본청,2017.01.10 ~ 2017.01.19,선진 지방재정 우수정책 비교연수,"뉴질랜드,호주",7,43.0,6.1,
4100000,경기본청,2017.01.12 ~ 2017.01.20,도의회 건설교통위원회 공무국외 연수,"독일,스위스",4,17.0,4.3,
4100000,경기본청,2017.01.12 ~ 2017.01.21,"도의회 여성가족교육협력위원회 서유럽 선진 여성가족, 평생교육, 복지정책 벤치마킹","스페인,영국,포르투갈",4,16.0,4.0,
4100000,경기본청,2017.01.15 ~ 2017.01.24,반려동물테마파크 공공구역 동물보호시설 건립 벤치마킹 연수,미국,2,9.0,4.5,
4100000,경기본청,2017.01.16 ~ 2017.01.19,GBC 러시아 후임소장 선발 출장,러시아,1,3.0,3.0,
4100000,경기본청,2017.01.17 ~ 2017.01.20,해양안전체험관 건립 관련 선진사례 도입 및 우호협력 추진,일본,5,12.0,2.4,
4100000,경기본청,2017.01.18 ~ 2017.01.20,국제화재교관 워크숍 참가,홍콩,3,4.0,1.3,
4100000,경기본청,2017.02.01 ~ 2017.02.10,선진 재정 우수정책 비교연수,"영국,스위스,프랑스",6,31.0,5.2,
4100000,경기본청,2017.02.01 ~ 2017.02.12,지자체 지역발전사업 담당 국외연수,"이탈리아,포르투갈,프랑스",2,10.0,5.0,
4100000,경기본청,2017.02.05 ~ 2017.02.09,ODA사업 추진을 위한 베트남 및 몽골 출장,"몽골,베트남",2,5.0,2.5,
4100000,경기본청,2017.02.08 ~ 2017.02.11,선진지 재난대응 시스템 벤치마킹을 통한 역량 강화,일본,7,11.0,1.6,
4100000,경기본청,2017.02.15 ~ 2017.02.23,유럽 투자유치 실무단,"네덜란드,이탈리아,프랑스",1,5.0,5.0,
4100000,경기본청,2017.02.15 ~ 2017.02.24,선진 재정 우수정책 비교연수(C조),"미국,캐나다",6,31.0,5.2,
4100000,경기본청,2017.02.18 ~ 2017.02.24,국제협력 아시아 실무단 파견,태국,1,3.0,3.0,
4100000,경기본청,2017.02.18 ~ 2017.02.25,국제협력 아시아 실무단 파견,"일본,태국",2,11.0,5.5,
4100000,경기본청,2017.02.20 ~ 2017.02.27,경기도 재난안전종합체험관 건립 선진지 안전체험시설 벤치마킹,"독일,영국",6,29.0,4.8,
4100000,경기본청,2017.02.21 ~ 2017.02.23,태국 투자유치 실무단 파견,태국,2,3.0,1.5,
4100000,경기본청,2017.02.22 ~ 2017.02.23,특화기업 일본진출 지원 사업 코디네이터 현지 간담회,일본,1,1.0,1.0,
4100000,경기본청,2017.02.22 ~ 2017.02.24,현덕지구 중국 투자유치 실무단,중국,3,4.0,1.3,
4100000,경기본청,2017.02.22 ~ 2017.02.25,국제협력 아시아 지역 실무단 파견,일본,1,2.0,2.0,
4100000,경기본청,2017.02.26 ~ 2017.03.05,유럽지역 투자유치 실무단 파견,스페인,2,7.0,3.5,
4100000,경기본청,2017.02.27 ~ 2017.03.02,싱가포르 중국 투자유치 대표단,"싱가포르,중국",1,4.0,4.0,
4100000,경기본청,2017.02.27 ~ 2017.03.03,싱가포르 투자유치 대표단,싱가포르,1,2.0,2.0,
4100000,경기본청,2017.02.28 ~ 2017.03.02,싱가포르 중국 투자유치 대표단,"싱가포르,중국",2,10.0,5.0,
4100000,경기본청,2017.02.28 ~ 2017.03.02,중국 투자유치 대표단,중국,3,3.0,1.0,
4100000,경기본청,2017.02.28 ~ 2017.03.03,싱가포르 투자유치 대표단,싱가포르,1,2.0,2.0,
4100000,경기본청,2017.03.01 ~ 2017.03.10,선진 재정 우수정책 비교연수(D조),"스페인,포르투갈",10,52.0,5.2,
